"url	page	""page without timeline""	date"
"https://www.ut.ee/et	http://wayback.archive.org/web/20140211062315id_/http://www.ut.ee/et	http://wayback.archive.org/web/20140211062315/http://www.ut.ee/et	20140211062315"
"https://www.ut.ee/et	http://wayback.archive.org/web/20140214144729id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20140214144729/http://www.ut.ee:80/et	20140214144729"
"https://www.ut.ee/et	http://wayback.archive.org/web/20140218203814id_/http://www.ut.ee/et	http://wayback.archive.org/web/20140218203814/http://www.ut.ee/et	20140218203814"
"https://www.ut.ee/et	http://wayback.archive.org/web/20140219211429id_/http://www.ut.ee/et	http://wayback.archive.org/web/20140219211429/http://www.ut.ee/et	20140219211429"
"https://www.ut.ee/et	http://wayback.archive.org/web/20140220232112id_/http://www.ut.ee/et	http://wayback.archive.org/web/20140220232112/http://www.ut.ee/et	20140220232112"
"https://www.ut.ee/et	http://wayback.archive.org/web/20140221235458id_/http://www.ut.ee/et	http://wayback.archive.org/web/20140221235458/http://www.ut.ee/et	20140221235458"
"https://www.ut.ee/et	http://wayback.archive.org/web/20140228000710id_/http://www.ut.ee/et	http://wayback.archive.org/web/20140228000710/http://www.ut.ee/et	20140228000710"
"https://www.ut.ee/et	http://wayback.archive.org/web/20140301010514id_/http://www.ut.ee/et	http://wayback.archive.org/web/20140301010514/http://www.ut.ee/et	20140301010514"
"https://www.ut.ee/et	http://wayback.archive.org/web/20140318115720id_/http://www.ut.ee/et	http://wayback.archive.org/web/20140318115720/http://www.ut.ee/et	20140318115720"
"https://www.ut.ee/et	http://wayback.archive.org/web/20140402000901id_/http://www.ut.ee/et	http://wayback.archive.org/web/20140402000901/http://www.ut.ee/et	20140402000901"
"https://www.ut.ee/et	http://wayback.archive.org/web/20140405175515id_/http://www.ut.ee/et	http://wayback.archive.org/web/20140405175515/http://www.ut.ee/et	20140405175515"
"https://www.ut.ee/et	http://wayback.archive.org/web/20140406193132id_/http://www.ut.ee/et	http://wayback.archive.org/web/20140406193132/http://www.ut.ee/et	20140406193132"
"https://www.ut.ee/et	http://wayback.archive.org/web/20140407192435id_/http://www.ut.ee/et	http://wayback.archive.org/web/20140407192435/http://www.ut.ee/et	20140407192435"
"https://www.ut.ee/et	http://wayback.archive.org/web/20140408201049id_/http://www.ut.ee/et	http://wayback.archive.org/web/20140408201049/http://www.ut.ee/et	20140408201049"
"https://www.ut.ee/et	http://wayback.archive.org/web/20140409224910id_/http://www.ut.ee/et	http://wayback.archive.org/web/20140409224910/http://www.ut.ee/et	20140409224910"
"https://www.ut.ee/et	http://wayback.archive.org/web/20140508053926id_/http://www.ut.ee/et	http://wayback.archive.org/web/20140508053926/http://www.ut.ee/et	20140508053926"
"https://www.ut.ee/et	http://wayback.archive.org/web/20140509064209id_/http://www.ut.ee/et	http://wayback.archive.org/web/20140509064209/http://www.ut.ee/et	20140509064209"
"https://www.ut.ee/et	http://wayback.archive.org/web/20140522213349id_/http://www.ut.ee/et	http://wayback.archive.org/web/20140522213349/http://www.ut.ee/et	20140522213349"
